@relation Name00100

@attribute Channel1-Element1 numeric
@attribute Channel1-Element2 numeric
@attribute Channel1-Element3 numeric
@attribute Channel1-Element4 numeric
@attribute Channel1-Element5 numeric
@attribute Channel1-Element6 numeric
@attribute Channel1-Element7 numeric
@attribute Channel1-Element8 numeric
@attribute Channel1-Element9 numeric
@attribute Channel1-Element10 numeric
@attribute Channel1-Element11 numeric
@attribute Channel2-Element1 numeric
@attribute Channel2-Element2 numeric
@attribute Channel2-Element3 numeric
@attribute Channel2-Element4 numeric
@attribute Channel2-Element5 numeric
@attribute Channel2-Element6 numeric
@attribute Channel2-Element7 numeric
@attribute Channel2-Element8 numeric
@attribute Channel2-Element9 numeric
@attribute Channel2-Element10 numeric
@attribute Channel2-Element11 numeric
@attribute Channel3-Element1 numeric
@attribute Channel3-Element2 numeric
@attribute Channel3-Element3 numeric
@attribute Channel3-Element4 numeric
@attribute Channel3-Element5 numeric
@attribute Channel3-Element6 numeric
@attribute Channel3-Element7 numeric
@attribute Channel3-Element8 numeric
@attribute Channel3-Element9 numeric
@attribute Channel3-Element10 numeric
@attribute Channel3-Element11 numeric
@attribute Channel4-Element1 numeric
@attribute Channel4-Element2 numeric
@attribute Channel4-Element3 numeric
@attribute Channel4-Element4 numeric
@attribute Channel4-Element5 numeric
@attribute Channel4-Element6 numeric
@attribute Channel4-Element7 numeric
@attribute Channel4-Element8 numeric
@attribute Channel4-Element9 numeric
@attribute Channel4-Element10 numeric
@attribute Channel4-Element11 numeric
@attribute Class numeric

@data
37,43,70,188,111,36,19,13,10,9,8,29,34,64,183,114,38,17,11,8,7,7,33,37,59,181,106,40,19,9,5,3,3,30,37,67,166,124,31,13,8,6,5,6,0
41,45,66,288,125,33,19,14,12,11,10,33,37,61,287,139,37,20,13,11,11,11,36,41,65,286,123,33,16,9,6,5,4,35,39,63,288,126,30,15,9,7,6,6,0
46,48,64,372,127,31,19,15,13,13,11,36,39,58,375,128,33,19,14,12,11,10,40,43,61,370,129,31,17,12,9,8,7,37,40,57,372,121,28,16,11,9,8,8,0
6,7,12,314,31,9,6,6,7,12,14,5,6,10,194,27,9,6,7,8,11,10,11,12,18,212,35,10,6,5,6,8,12,6,7,12,178,31,10,8,8,9,9,8,0
6,6,10,154,30,8,5,5,6,8,14,5,6,10,154,33,9,6,6,7,10,12,9,10,14,202,36,8,5,4,5,7,15,5,6,10,160,34,10,8,9,11,10,7,0
6,7,12,195,26,8,6,5,6,8,11,6,7,11,154,26,8,6,5,5,6,7,7,8,13,203,31,9,6,5,6,8,12,6,7,12,417,29,11,9,10,11,9,7,0
5,6,10,149,32,8,6,5,6,9,12,6,7,11,167,35,9,6,6,6,6,6,5,5,9,141,27,7,5,5,6,9,12,6,7,11,192,39,12,11,11,10,7,6,0
5,6,10,698,27,8,6,6,7,9,11,5,6,10,780,29,9,7,6,6,6,6,4,5,9,344,25,7,5,5,6,8,11,6,7,12,287,30,11,9,10,10,8,7,0
5,6,10,149,32,9,7,8,10,10,7,5,6,10,163,33,10,7,7,8,8,7,5,6,10,149,30,8,5,5,5,7,8,7,8,13,197,39,11,8,8,10,11,8,0
7,9,14,258,34,12,9,10,11,9,6,5,6,10,492,29,9,7,7,8,9,8,6,6,10,154,24,7,5,4,4,5,9,9,10,15,1006,33,9,6,5,6,9,10,0
5,6,10,167,37,11,9,9,8,6,5,6,7,11,171,37,10,8,8,8,9,8,7,8,12,175,36,9,6,5,5,6,8,8,8,13,192,36,9,6,5,6,8,10,0
6,6,11,267,30,10,8,8,8,7,6,8,10,16,719,35,12,9,8,9,9,8,6,7,12,315,31,9,6,6,6,7,9,10,11,17,213,35,10,6,5,6,8,9,0
5,6,9,149,33,9,7,7,8,7,7,5,6,10,162,33,9,7,7,8,9,8,7,7,12,177,38,10,7,6,7,8,10,5,6,10,157,32,9,7,7,7,7,6,0
6,7,12,171,30,10,8,7,8,8,7,5,6,10,156,27,9,7,7,8,8,6,5,6,9,537,26,8,6,5,6,6,6,5,6,10,762,29,9,7,7,9,9,7,0
5,6,11,170,36,11,8,8,8,7,6,5,5,9,138,30,9,7,7,8,8,7,4,5,8,128,27,7,5,5,7,9,9,4,5,8,137,28,8,7,7,9,9,7,0
6,7,12,173,30,11,9,10,10,8,6,5,6,10,151,26,9,7,8,8,6,5,6,6,11,162,27,9,7,7,8,9,8,4,5,8,139,21,7,6,6,8,9,7,0
6,7,11,177,39,11,9,8,8,7,6,6,6,11,182,37,11,9,8,6,4,3,5,6,10,164,32,9,6,6,7,8,9,7,8,13,185,37,9,6,5,5,7,8,0
9,10,16,480,31,9,6,5,5,5,6,6,7,12,175,30,10,8,8,8,7,6,5,6,10,218,27,8,6,5,6,7,10,7,8,13,183,29,9,6,5,6,8,10,2
5,6,9,149,27,7,5,4,4,5,6,5,6,10,165,32,9,7,7,9,9,7,7,8,12,178,36,9,6,5,5,7,9,7,7,12,187,38,11,8,7,8,9,8,2
9,10,15,775,29,9,5,4,4,4,6,4,5,8,1653,23,7,6,6,8,11,10,6,6,10,195,24,7,4,4,4,5,9,6,7,12,179,28,10,7,7,9,10,8,2
5,6,9,149,29,8,5,5,5,5,5,6,7,11,164,36,10,7,7,8,10,10,6,7,10,148,30,7,5,4,4,5,6,4,5,8,124,25,7,5,6,9,13,9,2
5,6,10,189,27,9,7,7,7,6,6,9,10,17,479,32,11,7,6,6,7,9,8,10,16,396,32,11,8,7,8,8,6,6,7,12,164,27,8,6,6,7,9,11,2
5,6,10,178,39,12,11,11,9,6,5,7,7,12,196,37,10,7,6,7,9,10,3,4,7,110,23,7,5,6,10,13,8,7,8,12,169,30,7,4,4,4,5,8,2
7,8,13,244,32,12,9,9,9,8,7,6,7,12,168,29,10,7,7,8,10,11,4,5,9,132,23,8,6,7,10,12,9,8,9,13,417,28,7,4,4,4,5,8,2
6,7,12,179,39,11,8,8,8,8,7,5,5,9,140,28,8,6,6,8,12,11,5,6,10,156,33,10,8,8,10,12,10,9,9,14,176,34,8,5,4,4,5,8,2
8,9,14,209,32,9,6,5,6,7,10,5,6,10,449,22,8,6,6,7,10,11,5,5,9,189,25,8,6,6,7,9,9,9,10,16,488,29,8,5,4,4,5,8,2
10,11,16,202,42,10,6,5,5,6,10,4,4,7,110,23,6,5,5,7,11,12,5,6,10,156,32,9,7,6,7,8,9,6,6,10,162,31,8,5,4,4,5,8,2
9,10,15,267,33,9,6,5,5,6,9,6,7,11,217,26,9,6,6,7,9,9,6,7,12,173,29,9,7,6,7,8,9,6,7,12,180,28,9,6,5,5,6,8,2
9,10,15,200,41,10,6,5,6,8,11,5,6,10,161,30,8,6,6,7,10,11,6,7,11,172,34,9,6,5,5,6,7,6,7,12,185,36,10,7,6,6,8,10,2
8,9,14,341,35,10,7,6,6,7,8,5,6,10,198,27,8,6,6,7,9,10,8,10,16,265,36,11,7,6,5,4,5,6,7,11,802,30,9,6,6,6,7,7,2
7,8,13,183,38,10,6,6,6,6,8,5,5,9,137,30,9,7,7,9,11,9,6,7,12,191,34,9,5,4,4,4,5,7,8,13,184,38,9,6,5,5,6,7,2
8,9,14,190,32,9,6,5,5,5,6,7,8,13,245,30,10,8,7,8,8,7,4,5,8,330,23,7,5,5,5,5,5,7,9,14,235,33,11,7,6,6,6,6,2
5,6,9,142,30,8,6,5,5,6,7,5,6,10,157,34,10,7,8,11,12,8,6,7,11,169,32,8,6,5,5,7,10,6,7,11,171,35,10,7,6,6,6,6,2
6,7,12,169,28,9,6,5,5,6,8,6,7,12,183,29,9,7,7,9,12,10,8,9,16,600,32,11,7,6,6,7,9,5,6,11,161,28,10,8,7,7,6,6,2
5,6,10,151,32,9,6,6,6,7,7,5,6,10,159,32,9,7,8,11,17,11,7,8,13,200,38,10,7,6,6,7,9,5,6,10,159,31,9,6,6,5,5,5,2
8,9,14,1081,27,9,6,5,5,6,8,6,6,11,158,27,9,7,8,11,14,11,6,7,11,1013,32,9,7,6,6,8,10,8,9,15,223,35,11,7,6,5,5,5,2
6,6,10,149,31,8,5,5,5,6,7,6,6,11,170,35,10,8,9,11,12,9,6,7,11,175,37,11,8,8,8,8,7,6,7,11,187,39,12,9,7,6,5,4,2
8,9,14,358,27,8,5,4,5,6,8,4,5,8,164,22,7,5,6,8,11,11,6,7,11,176,29,9,7,6,7,7,8,6,7,12,199,31,11,9,8,7,6,6,2
9,10,14,190,37,9,5,4,4,5,7,5,6,10,161,29,8,5,4,4,5,6,5,6,10,150,31,8,6,6,6,7,9,5,6,10,169,34,10,8,9,9,8,6,2
8,9,14,533,32,8,5,4,4,4,5,6,6,11,203,26,8,5,4,5,5,8,7,8,14,313,29,9,6,5,6,6,8,5,6,10,185,26,9,7,6,7,8,9,2
7,8,13,208,40,11,8,7,7,7,8,6,7,12,186,38,11,8,7,7,7,8,5,6,10,157,30,8,5,4,5,6,7,5,6,9,161,31,9,7,8,9,10,8,2
5,6,10,586,32,11,9,10,10,8,7,7,8,13,298,30,11,8,8,8,8,8,5,6,10,178,26,8,6,6,6,6,6,5,6,10,154,26,9,7,7,10,11,9,2
6,7,11,177,39,12,10,10,10,7,6,5,6,10,157,34,10,8,8,8,8,9,5,6,10,156,32,9,7,7,7,7,7,4,4,7,130,24,7,5,6,8,10,8,2
6,7,11,268,32,11,10,10,9,7,5,6,7,13,203,35,13,10,11,11,9,8,5,5,9,397,26,9,7,7,7,7,7,5,6,11,584,24,8,7,7,11,11,6,2
6,6,11,214,35,11,8,7,6,6,5,5,6,10,166,33,10,7,7,8,8,9,5,6,10,162,36,10,8,7,8,8,8,4,5,8,129,25,7,5,5,6,10,8,2
3,4,7,145,23,7,6,7,7,6,5,9,10,16,948,35,12,8,8,8,9,10,4,5,8,1333,26,8,7,8,11,10,8,4,4,7,259,21,7,5,6,10,13,7,2
3,4,7,107,24,7,6,7,8,7,5,7,8,13,212,40,11,8,7,7,7,8,5,5,9,148,33,10,9,11,11,8,6,4,5,8,132,28,8,6,6,7,9,8,2
5,6,10,147,25,9,7,8,8,8,6,8,9,14,193,32,9,6,5,5,6,6,5,6,10,160,28,10,8,9,10,9,8,6,7,11,256,28,10,9,10,12,10,8,2
5,6,10,155,34,10,8,8,7,6,5,6,6,10,158,33,9,6,6,6,8,9,5,6,9,154,32,10,8,8,9,9,8,4,4,7,125,26,8,7,8,13,12,8,2
